trip_id,part,trip_id_unique_station,trip_id_unique,line_id,direction,alternative,cluster,station_index,station_id,station_name,arrival_time,door_closing_time,arrival_is_estimated,latitude,longitude,passengers_up,passengers_continue,mekadem_nipuach_luz,passengers_continue_menupach
122209,?,122209a25,122209a,10614,1,#,???? ????? ?????,25,20142,???? ?????,11:11:00,11:11:00,FALSE,32.15987,34.81044,1,5,0.333333333,1.666666667
120425,?,120425a37,120425a,10601,2,1,???? ????? ?????,37,39193,??. ?? ???/???? ?????,0:29:00,0:29:00,FALSE,32.29787,34.85357,0,21,2.75,57.75
222403,?,222403a13,222403a,13104,2,0,?? ????,13,31124,??? ????/??? ????,18:49:00,18:49:00,FALSE,32.0508,34.84143,2,9,2.8,25.2
318191,?,318191a5,318191a,23096,1,#,????? ?????? ???????????+????? ?????,5,33936,??? ?? ??????/???????,9:16:00,9:16:00,FALSE,32.01673,34.81573,1,4,2.333333333,9.333333333
214078,?,214078c2,214078c,18057,2,0,?????-??? ??,2,26064,???? ??? ????/???,7:30:00,7:30:00,FALSE,32.049603,34.81443,5,5,2.333333333,11.66666667
310402,?,310402a36,310402a,11289,2,0,"?????-????""?-?????",36,25623,??? ??????/??????,6:02:00,6:02:00,FALSE,32.07192,34.78196,0,20,3,60
119388,?,119388a34,119388a,10561,2,#,???? ????? ?????,34,38767,??? ??/??????,20:50:33,,TRUE,32.16328,34.8942,0,5,4,20
314635,?,314635c21,314635c,16115,1,0,????-????,21,20655,??? ??????,22:15:00,22:15:00,FALSE,32.080414,34.768444,0,3,2.333333333,7
313762,?,313762c1,313762c,23076,2,0,????-????,1,35315,??????/???? ??? ?????,21:57:00,21:59:00,FALSE,32.0213,34.862835,0,0,2.5,0
311936,?,311936c25,311936c,17043,1,0,?? ??-??? ??,25,25274,?. ???? ???? ?????,14:34:00,14:34:00,FALSE,32.03719,34.778233,0,12,2.428571429,29.14285714
111693,?,111693c10,111693c,10524,1,#,???? ????? ?????,10,26903,???????/?? ??????,8:07:00,8:08:00,FALSE,32.164906,34.843563,5,15,0.666666667,10
118135,?,118135a46,118135a,10571,2,#,???? ????? ?????,46,36966,??????/?????,16:41:33,,TRUE,32.19186,34.88299,0,1,1,1
110345,?,110345b32,110345b,10610,1,#,???? ????? ?????,32,36476,???? ???? ?????,14:41:00,14:41:00,FALSE,32.25406,34.88915,1,8,1,8
115210,?,115210c42,115210c,81001,1,0,"?""?-?""?",42,36203,?????/??????,10:39:00,10:41:00,FALSE,32.01751,34.74539,1,7,3.142857143,22
217921,?,217921a7,217921a,11279,1,0,?? ????,7,25988,???????/???????,18:55:00,18:55:00,FALSE,32.10596,34.7969,1,10,3,30
319324,?,319324a42,319324a,21004,1,#,????? ?????? ???????????+????? ?????,42,36359,??????/???????,8:55:00,8:55:00,FALSE,32.01115,34.79587,1,2,3,6
314839,?,314839c43,314839c,10138,2,0,????-????,43,31070,?????? / ??? ???,15:11:00,15:11:00,FALSE,32.032047,34.892845,0,4,1.5,6
211029,?,211029b20,211029b,35002,1,0,?????-??? ???,20,26391,?? ????/??? ????,19:01:00,19:01:00,FALSE,32.0807,34.83103,1,11,1.545454545,17
417031,?,417031a9,417031a,14065,2,0,?????-??? ??,9,21319,?????/ ???? ???,19:55:00,19:55:00,FALSE,32.05931,34.82829,3,7,9,63
120180,?,120180a37,120180a,77015,2,#,???? ????? ?????,37,25662,"??""?/????",22:08:00,22:08:00,FALSE,32.05061,34.79173,1,3,3.166666667,9.5
113285,?,113285a10,113285a,13608,2,#,???? ????? ?????,10,25623,??? ??????/??????,11:25:39,,TRUE,32.07192,34.78196,0,1,2.333333333,2.333333333
218634,?,218634a12,218634a,17009,1,0,?? ????,12,25720,?????/?????,7:20:00,7:20:00,FALSE,32.07261,34.7834,1,7,1.333333333,9.333333333
413985,?,413985a8,413985a,17063,2,0,?????-??? ??,8,26200,??' ???????/??? ?? ??????,13:40:55,,TRUE,32.07484,34.8199,0,10,2.571428571,25.71428571
111777,?,111777b35,111777b,59021,2,#,???? ????? ?????,35,25852,??? ??????/????,10:06:00,10:06:00,FALSE,32.09024,34.7826,0,11,2,22
119128,?,119128a39,119128a,10525,2,#,???? ????? ?????,39,20521,?? ???/????? ?????,10:54:00,10:54:00,FALSE,32.13409,34.858,0,1,1.333333333,1.333333333
220581,?,220581a9,220581a,11204,1,0,?? ????,9,22994,?? ?????/??????,13:14:00,13:14:00,FALSE,32.08007,34.76981,6,24,2.818181818,67.63636364
315031,?,315031c13,315031c,34015,1,0,????-????,13,38984,???? ????/????? ????,12:19:00,12:19:00,FALSE,32.054947,34.85806,0,2,2.666666667,5.333333333
315875,?,315875a14,315875a,10189,2,0,"?????-????""?-?????",14,34147,????? ???????/??????? ???,18:48:00,18:48:00,FALSE,32.01873,34.78763,4,16,2.666666667,42.66666667
419931,?,419931a9,419931a,14267,2,0,?????-??? ??,9,26172,??? ????/??? ???,19:17:00,19:17:00,FALSE,32.06179,34.82537,0,1,1,1
111943,?,111943b17,111943b,10524,1,#,???? ????? ?????,17,20224,???????/??????,8:15:00,8:15:00,FALSE,32.141,34.83634,0,18,0.666666667,12
110959,?,110959b17,110959b,11126,2,#,???? ????? ?????,17,21188,??? ????/????? ?????,16:18:00,16:18:00,FALSE,32.09538,34.79414,1,14,3,42
313376,?,313376c6,313376c,20036,2,0,????-????,6,31207,???????/????,11:58:56,,TRUE,32.02884,34.86418,0,3,3.25,9.75
110432,?,110432c26,110432c,10524,2,#,???? ????? ?????,26,20303,???? ????????,16:01:00,16:01:00,FALSE,32.13858,34.835514,2,19,1,19
114377,?,114377c10,114377c,81001,2,0,"?""?-?""?",10,33719,?????/????????,6:57:00,6:57:00,FALSE,32.020752,34.74552,3,10,14,140
218045,?,218045a46,218045a,13104,1,0,?? ????,46,31202,"???""? ?? ?????",13:06:00,13:06:00,FALSE,32.0487,34.84915,0,11,2.8,30.8
312254,?,312254b38,312254b,22089,2,0,"?????-????""?-?????",38,26323,??? ?????/???? ?????,20:43:00,20:43:00,FALSE,32.10852,34.81559,0,9,0.777777778,7
315624,?,315624a34,315624a,19095,1,#,????? ?????? ???????????+????? ?????,34,39787,???????/??????,16:47:00,16:48:00,FALSE,32.00779,34.80728,1,8,2.666666667,21.33333333
312793,?,312793a21,312793a,22089,1,1,"?????-????""?-?????",21,25970,??' ????/??? ????,9:38:26,,TRUE,32.10055,34.79607,0,13,2.333333333,30.33333333
111806,?,111806c20,111806c,20048,1,#,?????,20,26899,??? ??? ??????/??????,8:31:03,,TRUE,32.164673,34.835403,0,11,2.333333333,25.66666667
311764,?,311764b32,311764b,18019,1,0,"?????-????""?-?????",32,36256,???????/?????,12:16:00,12:17:00,FALSE,32.02249,34.75461,2,13,2.25,29.25
218983,?,218983a31,218983a,17023,1,0,?? ????,31,26140,???????/??????,14:53:00,14:53:00,FALSE,32.0792,34.81546,2,3,1,3
111307,?,111307c12,111307c,13138,2,0,"?""?-?""?",12,26271,??? ?'????????/??????,10:50:00,10:50:00,FALSE,32.086205,34.811474,1,2,2.333333333,4.666666667
119700,?,119700a6,119700a,10502,2,#,???? ????? ?????,6,20050,??? ????/???? ?????,17:14:00,17:14:00,FALSE,32.10369,34.79271,2,32,2.8,89.6
311896,?,311896b38,311896b,16071,1,#,????? ?????? ???????????+????? ?????,38,36315,???? ???????/????? ??,17:35:41,,TRUE,31.99475,34.76727,0,0,1.533333333,0
310168,?,310168b10,310168b,16071,1,#,????? ?????? ???????????+????? ?????,10,25955,??? ??/??' ??? ?????,6:31:55,,TRUE,32.10395,34.78863,0,1,1.5,1.5
121094,?,121094a10,121094a,22006,1,#,???? ????? ?????,10,26605,???? ??????/???? ???,11:55:33,,TRUE,32.11119,34.83506,0,3,1.666666667,5
311161,?,311161c23,311161c,12125,2,0,?????-?? ??,23,20444,??????? ?????/????? ????,9:41:00,9:41:00,FALSE,32.04646,34.762993,2,12,3,36
411124,?,411124a8,411124a,17063,1,0,?????-??? ??,8,25612,?????/??' ?? ????,6:57:46,,TRUE,32.07244,34.77812,0,7,2.166666667,15.16666667
310815,?,310815b19,310815b,11289,2,0,"?????-????""?-?????",19,36379,????? ????/???????,15:38:29,,TRUE,32.02757,34.77356,0,6,2.333333333,14
321481,?,321481a28,321481a,11289,1,0,"?????-????""?-?????",28,22555,??' ?? ????/??? ????? ??????,0:27:00,0:28:00,FALSE,32.05078,34.77369,0,1,2.4,2.4
112401,?,112401c15,112401c,12278,1,#,???? ????? ?????,15,36369,?? ???/??????? ????,21:15:00,21:16:00,FALSE,32.023266,34.768044,0,5,1,5
120061,?,120061a37,120061a,22006,2,1,???? ????? ?????,37,21828,??? ???? ?????/???? ??????,12:47:52,,TRUE,32.108,34.83524,0,0,1,0
315301,?,315301a14,315301a,18019,1,0,"?????-????""?-?????",14,38171,????? ??? ????/??????,18:28:00,18:28:00,FALSE,31.9842,34.76804,0,20,2.5,50
313740,?,313740c25,313740c,20036,1,0,????-????,25,21486,???? ???????,7:02:00,7:02:00,FALSE,32.04869,34.813805,6,11,2,22
121632,?,121632a21,121632a,14026,2,#,???? ????? ?????,21,25632,??? ??????/???????,21:04:41,,TRUE,32.07668,34.78131,0,5,2.8,14
313381,?,313381c31,313381c,13139,2,0,????-????,31,31647,???? ?????,21:38:12,,TRUE,32.01406,34.84757,0,14,0.75,10.5
218675,?,218675a6,218675a,33027,1,0,?? ????,6,26445,?? ??????/????? ????,12:27:42,,TRUE,32.10956,34.82464,0,2,2.5,5
312063,?,312063c22,312063c,15042,2,0,?? ??-??? ??,22,20459,??? ????/?????,13:44:00,13:44:00,FALSE,32.0548,34.765858,1,12,2.833333333,34
210818,?,210818b41,210818b,17009,2,0,?? ????,41,26659,????? ?????,16:16:00,16:16:00,FALSE,32.13724,34.7978,0,0,1.166666667,0
313155,?,313155c18,313155c,13139,1,0,????-????,18,31337,???????/??????,8:56:00,,TRUE,32.0301,34.86626,0,7,1.333333333,9.333333333
314760,?,314760c15,314760c,13445,2,0,????-????,15,20661,??? ???????,17:51:00,17:51:00,FALSE,32.078377,34.7677,0,1,1.333333333,1.333333333
112958,?,112958c9,112958c,12238,1,0,"?""?-?""?",9,31191,"??""? ????",10:32:00,10:32:00,FALSE,32.083065,34.897827,4,16,2.5,40
211835,?,211835b3,211835b,15060,2,0,?????-??? ??,3,26465,"??""?/??????",8:02:00,8:02:00,FALSE,32.06734,34.83637,1,5,2.166666667,10.83333333
312175,?,312175b1,312175b,16071,1,#,????? ?????? ???????????+????? ?????,1,22951,????? ?????,16:27:00,16:30:00,FALSE,32.13673,34.79759,3,3,1.533333333,4.6
114217,?,114217c3,114217c,19047,2,#,?????,3,20026,?????/?? ???????,20:31:43,,TRUE,32.067005,34.786976,0,2,2.8,5.6
310888,?,310888c56,310888c,15025,1,0,?????-?? ??,56,36113,???? ??????,16:17:00,16:18:00,FALSE,32.002193,34.747448,0,0,3.428571429,0
110152,?,110152b15,110152b,14026,1,#,???? ????? ?????,15,36298,"??""? ???????",13:45:00,13:45:00,FALSE,32.03634,34.7627,6,16,1.714285714,27.42857143
312314,?,312314b29,312314b,10189,1,0,"?????-????""?-?????",29,22556,????? ??????/??? ?? ???,19:45:21,,TRUE,32.04186,34.77251,0,25,2.25,56.25
121207,?,121207a8,121207a,10570,2,#,???? ????? ?????,8,25631,??? ??????/???????,15:59:36,,TRUE,32.07649,34.78159,0,6,0.666666667,4
311539,?,311539a18,311539a,23096,2,#,????? ?????? ???????????+????? ?????,18,38496,??????/????,7:19:00,7:19:00,FALSE,32.0203,34.81026,0,1,1,1
219095,?,219095a42,219095a,22007,1,0,?? ????,42,31901,????? ????? ????/????,19:31:15,,TRUE,32.0534,34.84805,0,5,1.8,9
110910,?,110910b27,110910b,14026,2,#,???? ????? ?????,27,22028,??? ??? ????/??? ??????,17:31:00,17:31:00,FALSE,32.04624,34.78326,2,24,2.375,57
315582,?,315582c5,315582c,11436,2,0,????-????,5,31634,???? ???,13:54:59,,TRUE,32.012417,34.843014,0,0,0.5,0
312923,?,312923a48,312923a,11289,2,0,"?????-????""?-?????",48,20503,"???""? ??????/???â€™???",10:22:00,10:22:00,FALSE,32.11755,34.80597,0,0,2.8,0
119378,?,119378a5,119378a,10623,1,#,???? ????? ?????,5,30412,???? ?????/???? ????,14:02:38,,TRUE,32.28099,34.83957,0,1,1,1
311930,?,311930b37,311930b,53073,2,0,"?????-????""?-?????",37,21499,??? ?????????/????,22:26:19,,TRUE,32.04814,34.76918,0,14,3,42
313165,?,313165c20,313165c,15069,1,0,????-????,20,36560,?????/????? ??????,16:24:11,,TRUE,32.081284,34.85077,0,15,2.5,37.5
111235,?,111235c18,111235c,10551,1,#,???? ????? ?????,18,37054,?????/?? ??????,8:12:00,8:13:00,FALSE,32.181194,34.87108,2,14,1,14
210478,?,210478b19,210478b,27004,1,0,?? ????,19,25637,?. ???? ?????,15:54:00,15:54:00,FALSE,32.05449,34.7846,6,41,0.466666667,19.13333333
415764,?,415764a11,415764a,13039,1,0,?????-??? ??,11,25612,?????/??' ?? ????,15:55:18,,TRUE,32.07244,34.77812,0,24,2.833333333,68
222097,?,222097a30,222097a,11204,2,0,?? ????,30,22999,?? ?????/??' ??????,14:01:00,14:01:00,FALSE,32.09335,34.77502,0,13,2.636363636,34.27272727
316086,?,316086a18,316086a,12171,2,#,????? ?????? ???????????+????? ?????,18,36376,???????/???? ???????,17:16:00,17:16:00,FALSE,32.02938,34.77206,1,20,2.857142857,57.14285714
220673,?,220673a9,220673a,21007,2,0,?? ????,9,25262,????? ??????/?????????,14:08:00,14:08:00,FALSE,32.04037,34.77031,4,6,2.6,15.6
310296,?,310296b38,310296b,16071,1,#,????? ?????? ???????????+????? ?????,38,36315,???? ???????/????? ??,12:15:00,12:16:00,FALSE,31.99475,34.76727,0,6,1.875,11.25
313128,?,313128c24,313128c,16040,2,0,?? ??-??? ??,24,20455,?????/????,17:19:00,17:19:00,FALSE,32.051094,34.76506,4,14,3,42
312942,?,312942a17,312942a,21004,1,#,????? ?????? ???????????+????? ?????,17,33317,???????/?????,10:24:00,10:25:00,FALSE,32.02258,34.7774,5,13,2,26
121167,?,121167a34,121167a,10606,2,#,???? ????? ?????,34,39547,??????/??? ?????,20:32:33,,TRUE,32.30311,34.87519,0,6,2.5,15
115264,?,115264c31,115264c,13166,1,0,"?""?-?""?",31,20727,??? ???? ????/??????,5:50:06,,TRUE,32.069626,34.787952,0,4,2,8
415605,?,415605a13,415605a,15058,2,0,?????-??? ??,13,20033,?????? ??/????? ?????,15:54:27,,TRUE,32.06264,34.80856,0,6,2.75,16.5
115211,?,115211c30,115211c,13138,2,0,"?""?-?""?",30,32365,??? ??? ???? ???/????? ????,18:23:29,,TRUE,32.102154,34.875397,0,6,2.333333333,14
120537,?,120537a4,120537a,10551,2,#,???? ????? ?????,4,36899,??????/????,19:30:39,,TRUE,32.09163,34.87732,0,1,0.25,0.25
210479,?,210479b11,210479b,27004,2,0,?? ????,11,25645,"??? ??????/??""?",14:25:00,14:25:00,FALSE,32.05344,34.79129,1,18,1,18
422043,?,422043a26,422043a,12142,2,0,?? ??-??? ??,26,27124,??' ?? ????/???????,22:33:00,22:33:00,FALSE,32.05835,34.77755,0,4,2.2,8.8
110007,?,110007c24,110007c,15066,1,0,"?""?-?""?",24,25938,????/??? ????,11:55:00,11:56:00,FALSE,32.091324,34.794216,3,29,2.4,69.6
312526,?,312526c3,312526c,10240,2,0,?? ??-??? ??,3,38452,?. ???? ????????,5:01:25,,TRUE,32.001476,34.75953,0,0,5,0
220653,?,220653a22,220653a,22007,2,0,?? ????,22,26502,??? ?? ????/?? ?????,20:42:00,20:42:00,FALSE,32.07764,34.84048,2,19,1.333333333,25.33333333
115194,?,115194c31,115194c,19047,2,#,?????,31,26909,??? ???????/???? ????,20:18:00,20:18:00,FALSE,32.169685,34.852966,0,4,2.4,9.6
314976,?,314976c31,314976c,14444,1,0,????-????,31,32761,??. ??? ??????/?????,11:59:00,11:59:00,FALSE,31.993633,34.946075,0,4,1.5,6
419505,?,419505a20,419505a,53011,1,5,?????-??? ???,20,26469,?????? ????/??? ???? ??? ?????,20:33:00,20:34:00,FALSE,32.07124,34.83831,0,0,3.666666667,0
313899,?,313899c31,313899c,34015,2,0,????-????,31,31335,???????/???????,7:58:00,7:58:00,FALSE,32.02724,34.86163,2,11,2,22
120283,?,120283a3,120283a,22006,2,#,???? ????? ?????,3,37348,"????? ????????/?""? ?????",12:50:11,,TRUE,32.10307,34.79211,0,1,1,1
213057,?,213057c1,213057c,17023,2,0,?? ????,1,26156,??????,6:47:00,6:47:00,FALSE,32.059937,34.816486,0,0,0.777777778,0
313802,?,313802c13,313802c,23056,1,0,????-????,13,21028,??? ?????/???? ????,15:59:00,15:59:00,FALSE,32.071995,34.79565,1,32,3,96
111876,?,111876b28,111876b,11609,1,#,???? ????? ?????,28,39915,????? ?????,6:40:00,6:40:00,FALSE,32.1966,34.87966,0,17,1,17
413977,?,413977a16,413977a,17063,1,0,?????-??? ??,16,28574,????? ?????/???????,13:33:00,13:33:00,FALSE,32.07338,34.80072,0,10,2.857142857,28.57142857
119444,?,119444a5,119444a,23012,1,#,???? ????? ?????,5,21357,???? ??????/????,7:37:22,,TRUE,32.11316,34.83961,0,10,2.333333333,23.33333333
210820,?,210820b3,210820b,55008,2,0,?? ????,3,21265,??? ?? ??/??? ???????,18:27:22,,TRUE,32.04496,34.8114,0,5,2.777777778,13.88888889
313466,?,313466c31,313466c,10240,2,0,?? ??-??? ??,31,26946,????? ??????,19:23:00,19:24:00,FALSE,32.098763,34.82545,0,0,3.333333333,0
111242,?,111242b34,111242b,10613,2,#,???? ????? ?????,34,39635,??? ?????/??. ????,9:41:45,,TRUE,32.34235,34.85387,0,12,0.666666667,8
222596,?,222596a42,222596a,22007,1,0,?? ????,42,31901,????? ????? ????/????,21:18:14,,TRUE,32.0534,34.84805,0,1,0.666666667,0.666666667
315164,?,315164c7,315164c,11436,2,0,????-????,7,31769,??????/????,6:06:50,,TRUE,32.00542,34.854702,0,2,0.5,1
118306,?,118306a4,118306a,10561,1,#,???? ????? ?????,4,37030,????? ????/??????,15:50:00,15:51:00,FALSE,32.1764,34.90389,2,8,3,24
412185,?,412185a19,412185a,35002,1,0,?????-??? ???,19,26380,??? ????????/??? ????,11:15:00,11:15:00,FALSE,32.08103,34.82754,2,23,2.714285714,62.42857143
218911,?,218911a10,218911a,22007,1,0,?? ????,10,21635,???? ??????/???? ???,6:30:15,,TRUE,32.11158,34.83512,0,6,2.5,15
312027,?,312027b40,312027b,16071,1,?,????? ?????? ???????????+????? ?????,40,36315,???? ???????/????? ??,9:05:00,9:05:00,FALSE,31.99475,34.76727,0,12,1.25,15
120445,?,120445a35,120445a,10621,1,#,???? ????? ?????,35,31901,????? ????? ????/????,14:58:49,,TRUE,32.0534,34.84805,0,2,0.333333333,0.666666667
120293,?,120293a44,120293a,12619,2,#,???? ????? ?????,44,39216,??. ?? ???/??????? ?????,12:59:11,,TRUE,32.31092,34.85511,0,5,1.333333333,6.666666667
312254,?,312254b21,312254b,22089,2,0,"?????-????""?-?????",21,20356,?????/???? ???,20:18:00,20:18:00,FALSE,32.06616,34.7867,2,13,0.777777778,10.11111111
119292,?,119292a10,119292a,10561,1,#,???? ????? ?????,10,33947,"???? ??? ??""?",12:16:59,,TRUE,32.171,34.89347,0,17,2.4,40.8
112439,?,112439c3,112439c,12278,2,#,???? ????? ?????,3,35848,??? ????/??????,19:00:40,,TRUE,32.011448,34.80801,0,0,1,0
111337,?,111337c35,111337c,15066,1,0,"?""?-?""?",35,25537,?? ?????/?????????,14:38:00,14:38:00,FALSE,32.07497,34.767998,0,1,2.4,2.4
310063,?,310063c41,310063c,53073,2,0,"?????-????""?-?????",41,25409,?????/??? ???? ????,14:30:00,14:30:00,FALSE,32.061256,34.77375,0,8,11,88
221262,?,221262a12,221262a,25005,1,0,?? ????,12,25609,??????? ????/???????,17:26:00,17:26:00,FALSE,32.07531,34.77536,4,14,2.5,35
114538,?,114538c11,114538c,15051,2,0,"?""?-?""?",11,26271,??? ?'????????/??????,6:20:00,6:21:00,FALSE,32.086205,34.811474,1,29,3,87
311765,?,311765c28,311765c,10240,1,0,?? ??-??? ??,28,36169,"??? ????/?""? ???????",15:27:30,,TRUE,32.008953,34.75487,0,12,3.2,38.4
120964,?,120964a41,120964a,22006,1,#,???? ????? ?????,41,26313,?. ???? ???????????/????,17:35:00,17:35:00,FALSE,32.10486,34.80389,0,0,2.333333333,0
220637,?,220637a21,220637a,25005,2,0,?? ????,21,20053,????? ?????/???????,23:38:00,23:38:00,FALSE,32.06273,34.7769,0,7,2.272727273,15.90909091
312273,?,312273c45,312273c,17043,2,0,?? ??-??? ??,45,36102,???? ???/?????,7:44:08,,TRUE,32.0114,34.740463,0,7,2.2,15.4
217929,?,217929a16,217929a,13104,1,0,?? ????,16,23020,??? ????? ?????/?????,7:29:00,7:29:00,FALSE,32.06461,34.77248,2,17,2.25,38.25
111858,?,111858b22,111858b,10565,1,#,???? ????? ?????,22,21654,??? ?'????????/??????,12:45:00,12:45:00,FALSE,32.08529,34.81013,0,3,1,3
312166,?,312166b10,312166b,18010,1,0,"?????-????""?-?????",10,21513,???????????/???? ?????,8:16:09,,TRUE,32.11266,34.80136,0,5,2.5,12.5
211739,?,211739b26,211739b,16054,2,0,?????-??? ??,26,25683,???? ????/?? ?????????,8:31:00,8:31:00,FALSE,32.05825,34.79187,0,13,2.333333333,30.33333333
220650,?,220650a14,220650a,11204,1,0,?? ????,14,22989,??? ?????/?????,15:24:00,15:25:00,FALSE,32.06861,34.77078,7,20,2.733333333,54.66666667
219752,?,219752a43,219752a,39028,1,2,?? ????,43,26703,"???""? ???/??? ?????",18:38:06,,TRUE,32.11578,34.81706,0,2,1,2
315314,?,315314c30,315314c,37085,2,0,????-????,30,32263,?'????????/ ??????,6:45:00,6:45:00,FALSE,32.09056,34.87684,5,16,2,32
110389,?,110389c7,110389c,19047,1,#,?????,7,37055,?????/?? ??????,12:52:49,,TRUE,32.18128,34.871548,0,6,2.4,14.4
217995,?,217995a1,217995a,21007,2,0,?? ????,1,36305,"??""? ???????",7:31:00,7:31:00,FALSE,32.03644,34.76348,5,5,2.666666667,13.33333333
314414,?,314414a3,314414a,16071,2,#,????? ?????? ???????????+????? ?????,3,31683,??? ???/????? ?????,14:51:52,,TRUE,31.9875,34.77318,0,0,1.454545455,0
313111,?,313111c8,313111c,13139,2,0,????-????,8,31611,??? ????/???? ?? ??,21:04:29,,TRUE,31.983341,34.769207,0,6,0.75,4.5
210818,?,210818b38,210818b,17009,2,0,?? ????,38,21479,?. ??? ?? ???/2040,16:12:45,,TRUE,32.12859,34.78944,0,0,1.166666667,0
211350,?,211350c32,211350c,13039,2,0,?????-??? ??,32,25812,???????/?????????,9:58:00,9:58:00,FALSE,32.087955,34.775257,0,3,1.8,5.4
120034,?,120034a11,120034a,10600,2,#,???? ????? ?????,11,20145,???? ??????,18:43:00,18:44:00,FALSE,32.16586,34.81391,4,31,1.333333333,41.33333333
312936,?,312936c46,312936c,34046,1,0,?????-?? ??,46,36163,"?""? ???????/??? ???",7:26:32,,TRUE,32.010372,34.753506,0,1,2.5,2.5
412841,?,412841a33,412841a,12161,2,0,?????-??? ???,33,22991,?? ?????/?????,12:55:00,12:55:00,FALSE,32.07344,34.76828,1,11,2.833333333,31.16666667
315115,?,315115c13,315115c,19205,1,0,????-????,13,31900,????? ????? ????/???? ???????,8:45:44,,TRUE,32.06257,34.846184,0,7,2,14
